display_name,estimate,localized_display_name,product_id,lat,lng,time
uberXL,540,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7642204286,-122.424505214,2016-04-18 17:15:09.246860
uberSELECT,300,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7642204286,-122.424505214,2016-04-18 17:15:09.246860
UberBLACK,240,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7642204286,-122.424505214,2016-04-18 17:15:09.246860
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7642204286,-122.424505214,2016-04-18 17:15:09.246860
uberWAV,540,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7642204286,-122.424505214,2016-04-18 17:15:09.246860
uberTAXI,240,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7642204286,-122.424505214,2016-04-18 17:15:09.246860
uberX,240,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.76911,-122.424505214,2016-04-18 17:15:10.049481
uberXL,540,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.76911,-122.424505214,2016-04-18 17:15:10.049481
uberSELECT,360,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.76911,-122.424505214,2016-04-18 17:15:10.049481
UberBLACK,240,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.76911,-122.424505214,2016-04-18 17:15:10.049481
UberSUV,240,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.76911,-122.424505214,2016-04-18 17:15:10.049481
uberWAV,540,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.76911,-122.424505214,2016-04-18 17:15:10.049481
uberTAXI,240,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.76911,-122.424505214,2016-04-18 17:15:10.049481
uberX,240,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7739995714,-122.424505214,2016-04-18 17:15:10.997476
uberXL,360,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7739995714,-122.424505214,2016-04-18 17:15:10.997476
uberSELECT,360,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7739995714,-122.424505214,2016-04-18 17:15:10.997476
UberBLACK,300,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7739995714,-122.424505214,2016-04-18 17:15:10.997476
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7739995714,-122.424505214,2016-04-18 17:15:10.997476
uberWAV,600,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7739995714,-122.424505214,2016-04-18 17:15:10.997476
uberTAXI,420,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7739995714,-122.424505214,2016-04-18 17:15:10.997476
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7788891429,-122.424505214,2016-04-18 17:15:12.185067
uberXL,300,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7788891429,-122.424505214,2016-04-18 17:15:12.185067
uberSELECT,240,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7788891429,-122.424505214,2016-04-18 17:15:12.185067
UberBLACK,180,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7788891429,-122.424505214,2016-04-18 17:15:12.185067
UberSUV,180,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7788891429,-122.424505214,2016-04-18 17:15:12.185067
uberWAV,600,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7788891429,-122.424505214,2016-04-18 17:15:12.185067
uberTAXI,300,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7788891429,-122.424505214,2016-04-18 17:15:12.185067
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7837787143,-122.424505214,2016-04-18 17:15:13.288656
uberXL,300,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7837787143,-122.424505214,2016-04-18 17:15:13.288656
uberSELECT,300,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7837787143,-122.424505214,2016-04-18 17:15:13.288656
UberBLACK,300,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7837787143,-122.424505214,2016-04-18 17:15:13.288656
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7837787143,-122.424505214,2016-04-18 17:15:13.288656
uberWAV,720,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7837787143,-122.424505214,2016-04-18 17:15:13.288656
uberTAXI,180,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7837787143,-122.424505214,2016-04-18 17:15:13.288656
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7886682857,-122.424505214,2016-04-18 17:15:14.602122
uberXL,300,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7886682857,-122.424505214,2016-04-18 17:15:14.602122
uberSELECT,240,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7886682857,-122.424505214,2016-04-18 17:15:14.602122
UberBLACK,300,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7886682857,-122.424505214,2016-04-18 17:15:14.602122
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7886682857,-122.424505214,2016-04-18 17:15:14.602122
uberWAV,720,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7886682857,-122.424505214,2016-04-18 17:15:14.602122
uberTAXI,240,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7886682857,-122.424505214,2016-04-18 17:15:14.602122
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7935578571,-122.424505214,2016-04-18 17:15:15.600438
uberXL,180,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7935578571,-122.424505214,2016-04-18 17:15:15.600438
uberSELECT,240,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7935578571,-122.424505214,2016-04-18 17:15:15.600438
UberBLACK,240,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7935578571,-122.424505214,2016-04-18 17:15:15.600438
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7935578571,-122.424505214,2016-04-18 17:15:15.600438
uberWAV,780,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7935578571,-122.424505214,2016-04-18 17:15:15.600438
uberTAXI,300,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7935578571,-122.424505214,2016-04-18 17:15:15.600438
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7984474286,-122.424505214,2016-04-18 17:15:17.007155
uberXL,180,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7984474286,-122.424505214,2016-04-18 17:15:17.007155
